 Seconds	 Resist. (Ohm)
      0 	10077.9377 
      1 	10027.2789 
      3 	10027.3288 
      5 	10027.3511 
      7 	10027.3444 
      9 	10027.3947 
     12 	10027.4016 
     14 	10027.4471 
     16 	10027.4853 
     18 	10027.5022 
     20 	10027.5214 
     22 	10027.5436 
     24 	10027.5788 
     26 	10027.6141 
     29 	10027.6313 
     31 	10027.6567 
     33 	10027.6806 
     35 	10027.7154 
     37 	10027.7398 
     39 	10027.7586 
     41 	10027.7908 
     43 	10027.8249 
     46 	10027.8405 
     48 	10027.868 
     50 	10027.8948 
     52 	10027.9372 
     54 	10027.9583 
     56 	10027.9645 
     58 	10028.0132 
     60 	 10028.03 
     63 	10028.0525 
     65 	10028.071 
     67 	10028.1043 
     69 	10028.1413 
     71 	10028.1803 
     73 	10028.1864 
     75 	10028.2191 
     77 	10028.236 
     80 	10028.2664 
     82 	10028.288 
     84 	10028.3065 
     86 	10028.3337 
     88 	10028.3593 
     90 	10028.3804 
     92 	10028.4097 
     94 	10028.4437 
     97 	10028.4622 
     99 	10028.4776 
    101 	10028.5301 
    103 	10028.5315 
    105 	10028.5651 
    107 	10028.5845 
    109 	10028.6101 
    111 	10028.647 
    114 	10028.6619 
    116 	10028.6914 
    118 	10028.7096 
    120 	10028.7424 
    122 	10028.7664 
    124 	10028.7895 
    126 	10028.8058 
    128 	10028.8368 
    131 	10028.8467 
    133 	10028.8784 
    135 	10028.9007 
    137 	10028.9348 
    139 	10028.9543 
    141 	10028.9754 
    143 	10028.9876 
    145 	10029.0134 
    148 	10029.0364 
    150 	10029.0717 
    152 	10029.0864 
    154 	10029.1222 
    156 	10029.1375 
    158 	10029.1588 
    160 	10029.1724 
    163 	10029.1936 
    165 	10029.2206 
    167 	10029.2467 
    169 	10029.2775 
    171 	10029.2956 
    173 	10029.3115 
    175 	10029.3372 
    177 	10029.3623 
    179 	10029.3733 
    182 	10029.4081 
    184 	10029.4307 
    186 	10029.4532 
    188 	10029.4674 
    190 	10029.4989 
    192 	10029.5181 
    194 	10029.5436 
    196 	10029.5453 
    199 	10029.5762 
    201 	10029.6016 
    203 	10029.6284 
    205 	10029.6498 
    207 	10029.6642 
    209 	10029.6869 
    211 	10029.7043 
    213 	10029.7358 
    216 	10029.7473 
    218 	10029.7686 
    220 	10029.788 
    222 	10029.8029 
    224 	10029.8278 
    226 	10029.8462 
    228 	10029.8666 
    230 	10029.8863 
    233 	10029.8942 
    235 	10029.9244 
    237 	10029.9467 
    239 	10029.9584 
    241 	10029.9786 
    243 	10030.001 
    245 	10030.0288 
    248 	10030.0543 
    250 	10030.0811 
    252 	10030.0889 
    254 	10030.1132 
    256 	10030.1246 
    258 	10030.1487 
    260 	10030.1704 
    262 	10030.1961 
    264 	10030.2189 
    267 	10030.2074 
    269 	10030.2421 
    271 	10030.2616 
    273 	10030.277 
    275 	10030.3004 
    277 	10030.3108 
    279 	10030.3377 
    281 	10030.3583 
    284 	10030.371 
    286 	10030.3828 
    288 	10030.4143 
    290 	10030.4378 
    292 	10030.4535 
    294 	10030.4665 
    296 	10030.4856 
    298 	10030.5126 
    301 	10030.5425 
    303 	10030.5369 
    305 	10030.5445 
    307 	10030.5729 
    309 	10030.5766 
    311 	10030.6062 
    313 	10030.6255 
    315 	10030.6405 
    318 	10030.6455 
    320 	10030.6664 
    322 	10030.6894 
    324 	10030.7053 
    326 	10030.7256 
    328 	10030.7407 
    330 	10030.7648 
    332 	10030.7736 
    335 	10030.7964 
    337 	10030.8022 
    339 	10030.8205 
    341 	10030.8546 
    343 	10030.8587 
    345 	10030.8733 
